Name,Job Title,Skills,Experience (Years),Education,Certification,Location
Kristine Dunn,Data Scientist,"R, Pandas, Deep Learning",13,PhD,AWS Certified,Port Evanside
Andrew Guerrero,ML Engineer,"Python, TensorFlow, NLP",10,PhD,Google Data Engineer,East Christopherburgh
Gina King,ML Engineer,"Python, PyTorch, NLP, TensorFlow",9,Master's,AWS Certified,Fitzgeraldfort
Anthony Chen,Data Scientist,"Deep Learning, Python, Machine Learning, R",7,Master's,Google Data Engineer,Barkerville
Sherry Sanchez,Data Engineer,"SQL, Spark, Hadoop",7,Master's,Microsoft Azure,Port Danielle
Barbara Strickland,Data Scientist,"Pandas, Deep Learning, TensorFlow",1,Bachelor's,None,Mitchellstad
Katherine Shepherd,Data Scientist,"Machine Learning, Python, Pandas, Deep Learning, R",3,PhD,Microsoft Azure,Parkershire
Ryan Terrell,ML Engineer,"Scikit-learn, NLP, TensorFlow, Python, PyTorch, Keras",8,Master's,None,North Angelaburgh
Teresa Roberts,AI Engineer,"AI Systems, NLP, TensorFlow",6,PhD,Microsoft Azure,West Williammouth
Kathleen Miller,AI Engineer,"AI Systems, NLP, TensorFlow, Deep Learning, Machine Learning",4,Master's,Google Data Engineer,Matafort
Mrs. April Jackson PhD,Data Scientist,"R, TensorFlow, Python, Machine Learning, Pandas, Deep Learning",1,Bachelor's,Microsoft Azure,West Ronald
Dylan Ramirez,ML Engineer,"TensorFlow, Python, PyTorch, Keras, NLP",6,Master's,AWS Certified,New Melissa
Robert Freeman,ML Engineer,"PyTorch, NLP, Keras, Python",6,Master's,Microsoft Azure,North Jessicashire
Joel Stevenson,Data Scientist,"Deep Learning, R, TensorFlow, Pandas",5,Master's,Google Data Engineer,South Karen
Jacob Bruce,ML Engineer,"Python, Keras, PyTorch, Scikit-learn, TensorFlow",14,PhD,None,East Elaine
Linda Manning,Data Engineer,"SQL, AWS, Hadoop, Kafka, Spark, ETL",5,Bachelor's,Microsoft Azure,Monicastad
Margaret Wilson,Data Scientist,"Python, Pandas, Machine Learning, R",13,Bachelor's,Microsoft Azure,Glennchester
Sarah Russo,Data Analyst,"Excel, Tableau, Python",2,PhD,AWS Certified,East Dorothymouth
Andrew Garcia,Data Scientist,"R, Pandas, Machine Learning",15,Master's,Microsoft Azure,Mendozaborough
Stephen Ortega,Data Engineer,"Spark, ETL, Kafka, Hadoop, SQL, Python",9,Bachelor's,Microsoft Azure,West James
Andrea Young,AI Engineer,"Python, Machine Learning, Deep Learning, TensorFlow, AI Systems",6,Master's,AWS Certified,Sanderschester
Alex Sanchez,Data Scientist,"Python, Pandas, Deep Learning, R, TensorFlow",5,Master's,None,Lewisburgh
Chris Ford,Data Analyst,"Tableau, Excel, Python",5,Bachelor's,Microsoft Azure,Chadchester
Kenneth Moody,Data Scientist,"Pandas, Python, TensorFlow",8,Master's,None,Kevinmouth
Michele Conner,ML Engineer,"Keras, TensorFlow, Python, PyTorch, NLP",9,Bachelor's,AWS Certified,North Dwayne
Emily Cooper,Data Scientist,"Machine Learning, Pandas, Python, Deep Learning, R, TensorFlow",1,Master's,AWS Certified,Michellebury
Brad Morrison,Data Engineer,"Hadoop, Spark, Kafka",13,PhD,None,North Keith
David Villegas,ML Engineer,"Keras, PyTorch, Python, NLP, Scikit-learn, TensorFlow",8,Bachelor's,Microsoft Azure,Davidside
Kenneth Garcia,AI Engineer,"TensorFlow, Deep Learning, AI Systems, Python, NLP",11,Master's,Microsoft Azure,East Carlos
Sherri Lynn,ML Engineer,"Keras, PyTorch, Python",1,Master's,AWS Certified,New Angie
Nancy Koch,Data Engineer,"Spark, Hadoop, AWS",8,Master's,Microsoft Azure,Simmonsburgh
Tyler Andrade,Data Engineer,"Kafka, SQL, AWS, Python",9,Bachelor's,Microsoft Azure,Coleport
Jon Schmidt,Data Engineer,"Python, SQL, Kafka, Hadoop",14,Bachelor's,AWS Certified,Markborough
Matthew Wilson,ML Engineer,"PyTorch, Keras, NLP, Scikit-learn, Python, TensorFlow",3,PhD,AWS Certified,Lake Tiffany
Carlos Richardson,Data Scientist,"TensorFlow, Pandas, R, Python",2,Bachelor's,AWS Certified,Port Alexandria
Robin Small,AI Engineer,"Deep Learning, Machine Learning, Python, NLP, TensorFlow",7,Bachelor's,Google Data Engineer,Lake Karla
Jeffrey Hall,Data Analyst,"Excel, Tableau, Data Visualization, SQL",10,Master's,Microsoft Azure,New Ann
Martin Long,Data Analyst,"SQL, Tableau, Excel, Power BI, Python, Data Visualization",11,PhD,AWS Certified,Cathybury
Brett Moses,Data Scientist,"R, TensorFlow, Pandas, Python, Deep Learning, Machine Learning",11,Master's,None,Lewisborough
Mr. John Brennan DDS,ML Engineer,"TensorFlow, Scikit-learn, PyTorch, NLP, Python, Keras",7,Master's,Microsoft Azure,Pricechester
Bryan Franco,AI Engineer,"Machine Learning, TensorFlow, Python, NLP, Deep Learning",12,Bachelor's,AWS Certified,Nicholasville
Kathy Parrish,Data Engineer,"Python, Kafka, Spark, SQL, AWS, Hadoop",14,Master's,Google Data Engineer,South Morganview
Victor Mason,Data Scientist,"Machine Learning, Deep Learning, TensorFlow",12,PhD,Google Data Engineer,Lake Ericachester
Gregory Harris,ML Engineer,"Keras, TensorFlow, NLP, Scikit-learn",4,PhD,Google Data Engineer,West Rebecca
Molly Powell,Data Engineer,"Hadoop, Python, Spark, Kafka, SQL, AWS",11,PhD,Microsoft Azure,Lake Noah
Sandra King,Data Analyst,"Power BI, SQL, Data Visualization, Tableau",2,PhD,None,East Johnport
Aaron Oliver,Data Scientist,"Deep Learning, Machine Learning, Pandas, Python, TensorFlow",9,Master's,AWS Certified,Floresmouth
Kevin Alvarado,ML Engineer,"Keras, NLP, Python, PyTorch, TensorFlow",11,PhD,None,Julieberg
Teresa Delacruz,Data Analyst,"SQL, Power BI, Excel",15,Bachelor's,None,Lake Lawrenceton
Jeremiah West,Data Engineer,"SQL, AWS, Spark, Hadoop, Python, Kafka",11,Bachelor's,Microsoft Azure,North Ashleyside
Roy Fuentes,Data Analyst,"Python, Excel, Tableau",12,Bachelor's,Microsoft Azure,Bradleymouth
Mary Heath,Data Scientist,"Python, Pandas, R, TensorFlow, Deep Learning",13,PhD,None,Port Nancy
Abigail Mitchell,ML Engineer,"PyTorch, Keras, NLP, Python",14,PhD,Google Data Engineer,Port Ronaldmouth
Ashley Phillips,AI Engineer,"AI Systems, TensorFlow, NLP, Python, Machine Learning",8,Bachelor's,Google Data Engineer,Port Kristinastad
Jonathan Martinez,Data Analyst,"Excel, Data Visualization, Tableau, Python, SQL, Power BI",8,PhD,AWS Certified,Joannefort
Steven Brown,Data Analyst,"Tableau, Power BI, SQL, Python, Data Visualization",7,PhD,None,South Patrickton
Noah Jensen,AI Engineer,"TensorFlow, Machine Learning, AI Systems, Deep Learning",2,Master's,Google Data Engineer,East Shawn
Martin Williams,AI Engineer,"Deep Learning, Machine Learning, TensorFlow",6,Bachelor's,Microsoft Azure,North Joshualand
Zachary Ortega,ML Engineer,"TensorFlow, NLP, Keras, PyTorch, Scikit-learn",7,PhD,Google Data Engineer,Douglaston
Candice Stephens,AI Engineer,"Deep Learning, AI Systems, Python",15,Bachelor's,None,Josephfurt
Joshua Foster,Data Analyst,"Excel, Tableau, SQL, Data Visualization",14,Bachelor's,AWS Certified,Bishopville
Daniel Green,Data Scientist,"TensorFlow, Python, Machine Learning",3,Bachelor's,None,New Jonathanside
Brett Andrews,AI Engineer,"Deep Learning, AI Systems, Python, NLP, Machine Learning, TensorFlow",15,PhD,Google Data Engineer,Raymondhaven
Maurice Jensen,Data Engineer,"Hadoop, Kafka, SQL, Spark, Python, ETL",1,PhD,Google Data Engineer,Brownland
Ethan Hill,ML Engineer,"TensorFlow, PyTorch, Python, Keras, Scikit-learn, NLP",9,Bachelor's,AWS Certified,North Anthonyfurt
Joseph Black,ML Engineer,"Keras, Python, Scikit-learn, NLP, PyTorch, TensorFlow",9,Master's,Microsoft Azure,Breannaburgh
Angela Garcia,Data Engineer,"AWS, Hadoop, ETL, Spark",3,Master's,None,West Kristie
Sean Wilcox,AI Engineer,"AI Systems, Python, Deep Learning",14,Bachelor's,Google Data Engineer,South Michaelview
Danielle Rodriguez,ML Engineer,"Python, Scikit-learn, PyTorch, Keras",5,Bachelor's,Google Data Engineer,Fitzpatrickhaven
David Ford,ML Engineer,"PyTorch, TensorFlow, Keras, NLP",11,Bachelor's,Google Data Engineer,East Billybury
Samantha Hurst,ML Engineer,"Scikit-learn, Python, TensorFlow, NLP, PyTorch, Keras",1,Bachelor's,AWS Certified,Mullenburgh
Justin Johnson,Data Scientist,"TensorFlow, Python, Deep Learning",10,Bachelor's,Google Data Engineer,New Juan
Mrs. Lisa Chen,ML Engineer,"Python, PyTorch, Keras, TensorFlow, Scikit-learn",5,Bachelor's,AWS Certified,Smithville
Jodi Day,Data Analyst,"Excel, Python, Data Visualization, Power BI, SQL",15,Bachelor's,AWS Certified,North Stephanie
Amber Miller,ML Engineer,"Keras, Python, NLP",10,Master's,Google Data Engineer,East Peterton
Leslie White,Data Scientist,"Machine Learning, R, Deep Learning, Python, Pandas",4,Master's,Google Data Engineer,Rubioside
Adam Guerra,AI Engineer,"TensorFlow, Deep Learning, Python, AI Systems, Machine Learning, NLP",6,PhD,Microsoft Azure,Scottmouth
Jennifer Johnston,ML Engineer,"Keras, NLP, TensorFlow, PyTorch",12,Master's,Microsoft Azure,Brownbury
Courtney Mann,ML Engineer,"NLP, TensorFlow, Python, Scikit-learn, Keras",5,Bachelor's,Google Data Engineer,South Scott
Amanda Richardson,Data Analyst,"Excel, Tableau, SQL",1,Bachelor's,Google Data Engineer,North Josebury
Susan Howard,Data Engineer,"Kafka, SQL, Hadoop",3,PhD,Google Data Engineer,Port Nancytown
Michael Clark,Data Engineer,"SQL, AWS, Python, Hadoop",6,Master's,AWS Certified,North Karenmouth
Jamie Moore,ML Engineer,"PyTorch, NLP, TensorFlow, Keras, Scikit-learn",15,PhD,None,Reedshire
Adrian Sheppard,ML Engineer,"PyTorch, NLP, TensorFlow",2,Bachelor's,None,South Melanie
Pamela Miller,Data Analyst,"SQL, Power BI, Excel, Python, Tableau",5,PhD,AWS Certified,Johnmouth
Christine White,Data Engineer,"Python, ETL, Spark",12,Master's,Google Data Engineer,Matthewberg
Terry Hernandez,Data Engineer,"Hadoop, Python, AWS, ETL, SQL",3,PhD,None,Amyberg
Christine Walker,Data Scientist,"R, Pandas, Python, Machine Learning",14,Bachelor's,Google Data Engineer,Lake Darius
Jennifer Andrews,Data Analyst,"SQL, Tableau, Data Visualization, Power BI, Python",1,PhD,Google Data Engineer,Bonnieburgh
Jessica Jones,AI Engineer,"Machine Learning, Deep Learning, AI Systems, TensorFlow",6,Bachelor's,Google Data Engineer,Shahland
Carolyn Barnes,Data Engineer,"AWS, Hadoop, Kafka, Python, ETL",14,Bachelor's,Google Data Engineer,North Ashley
Danielle Walsh,ML Engineer,"Keras, PyTorch, Scikit-learn, NLP",10,Master's,Google Data Engineer,South Michaelport
Paul Cook,Data Scientist,"R, Deep Learning, TensorFlow, Machine Learning, Pandas, Python",8,PhD,None,Amyton
Ashley Ellis,Data Analyst,"Power BI, Data Visualization, SQL",11,Bachelor's,None,Adamschester
Robert Villanueva,Data Scientist,"Pandas, Deep Learning, Python, R, Machine Learning",8,Bachelor's,AWS Certified,Port Michellefort
Andrew Sparks,Data Analyst,"Tableau, Power BI, Excel",4,Bachelor's,AWS Certified,New Robin
Travis Baker,ML Engineer,"NLP, PyTorch, Python, TensorFlow, Keras",14,Master's,None,Aprilhaven
David Hayes,ML Engineer,"TensorFlow, Keras, Scikit-learn",10,PhD,None,Teresafurt
Kyle Simmons,Data Scientist,"Python, Deep Learning, R, TensorFlow, Pandas",7,PhD,None,Lake Deborahburgh
Ashley Potter,AI Engineer,"Machine Learning, NLP, AI Systems",15,Master's,None,East Sophiaburgh
Taylor Johnson,Data Engineer,"SQL, ETL, Spark, Hadoop, AWS",8,PhD,AWS Certified,Stantonmouth
Brandon Gonzalez,Data Scientist,"R, Deep Learning, TensorFlow, Machine Learning, Python",4,PhD,Microsoft Azure,Michaelfurt
Tiffany Webb,Data Analyst,"Python, Tableau, Power BI",5,Bachelor's,Microsoft Azure,New Arthur
James Anderson,Data Scientist,"Pandas, Machine Learning, Deep Learning",14,Bachelor's,None,Johnsonmouth
Kathleen Neal,ML Engineer,"Keras, PyTorch, Scikit-learn, Python, TensorFlow, NLP",3,Bachelor's,None,Port Crystalchester
Christopher Smith,AI Engineer,"NLP, AI Systems, Deep Learning, Python, TensorFlow, Machine Learning",1,PhD,Microsoft Azure,West Michaelburgh
David Daniel,Data Engineer,"AWS, ETL, Python",9,Master's,None,West Jack
Marisa Thompson,Data Scientist,"Pandas, Deep Learning, R",12,Master's,Microsoft Azure,North Patriciaport
Jose Bishop,AI Engineer,"Deep Learning, NLP, Machine Learning",12,Bachelor's,Microsoft Azure,Shannonmouth
Janet Collier,Data Analyst,"Excel, Python, Power BI, Tableau, Data Visualization, SQL",14,PhD,Microsoft Azure,Carolynton
Kimberly Ortiz,ML Engineer,"Keras, PyTorch, TensorFlow",9,Master's,Google Data Engineer,East Davidbury
Daniel Silva,Data Engineer,"ETL, Spark, SQL, Kafka",4,PhD,None,North Matthewville
Jason Nguyen,Data Analyst,"Tableau, Excel, Data Visualization, Python, Power BI, SQL",9,Bachelor's,Google Data Engineer,Katherineton
Mark Gregory,Data Scientist,"Deep Learning, R, TensorFlow, Pandas",4,Master's,None,Lake Sarahtown
Michelle Thornton,Data Analyst,"Python, Tableau, Excel, Power BI",10,Bachelor's,Microsoft Azure,Hubbardside
Brittany Thompson,Data Analyst,"Excel, Power BI, Python, Data Visualization, SQL",3,Bachelor's,Microsoft Azure,New Phillip
Sara Wilson,AI Engineer,"NLP, Python, Deep Learning, AI Systems, TensorFlow",1,Bachelor's,Google Data Engineer,Amandaport
Jennifer Foster,ML Engineer,"Python, Scikit-learn, PyTorch, TensorFlow, NLP, Keras",5,PhD,Microsoft Azure,Abigailshire
Stephanie Lucero,AI Engineer,"Machine Learning, NLP, Python, Deep Learning, AI Systems",11,Master's,Google Data Engineer,Jillchester
Katherine Jarvis,ML Engineer,"Scikit-learn, Keras, NLP, TensorFlow, PyTorch",4,Bachelor's,Microsoft Azure,East Dalton
Christine Bruce,Data Analyst,"Data Visualization, Tableau, Power BI, Python, SQL, Excel",11,Bachelor's,None,Cindyburgh
Denise Galvan,Data Analyst,"Python, Tableau, SQL, Excel, Power BI",3,Master's,AWS Certified,Brittanyhaven
Nathaniel Hudson,Data Scientist,"Pandas, Python, Deep Learning, TensorFlow",9,Master's,AWS Certified,Porterview
Justin Jenkins,AI Engineer,"Deep Learning, TensorFlow, Machine Learning, AI Systems, Python, NLP",5,Bachelor's,Microsoft Azure,Johnsonstad
David Roberts,Data Engineer,"Spark, Python, SQL, Kafka, ETL",5,Bachelor's,Google Data Engineer,Ianview
Brandi Ponce,Data Analyst,"Excel, Tableau, Data Visualization, Power BI, Python, SQL",10,PhD,Microsoft Azure,Francischester
Holly Ramos,ML Engineer,"Python, Keras, Scikit-learn, TensorFlow, PyTorch",9,PhD,Microsoft Azure,Port Pennytown
Robin Baldwin,Data Engineer,"SQL, Hadoop, Spark, AWS, ETL",13,PhD,AWS Certified,Lake Nicoleborough
Margaret Wells,Data Analyst,"Excel, Data Visualization, Python, Tableau, SQL",1,PhD,Google Data Engineer,Port Jose
Kim Hernandez DVM,ML Engineer,"TensorFlow, Keras, PyTorch, Scikit-learn",12,Bachelor's,Google Data Engineer,North Shawn
Ryan Walsh,Data Analyst,"Tableau, SQL, Python, Data Visualization",3,Bachelor's,None,South Kayla
Joseph Martinez,ML Engineer,"Scikit-learn, NLP, Keras, PyTorch, TensorFlow, Python",7,Master's,AWS Certified,New Nicholas
Jason Williams,ML Engineer,"TensorFlow, Keras, Scikit-learn, PyTorch, Python",1,Bachelor's,AWS Certified,New James
Steven Fleming,ML Engineer,"Python, Keras, PyTorch, Scikit-learn, NLP",15,PhD,AWS Certified,Lake Robertland
Sarah Farrell,AI Engineer,"AI Systems, Deep Learning, Python",11,PhD,Microsoft Azure,South Breannashire
Larry Little,Data Scientist,"Pandas, R, Deep Learning, TensorFlow",13,Master's,Microsoft Azure,Rushtown
Jacob Miller,Data Analyst,"Data Visualization, SQL, Tableau, Python, Excel, Power BI",9,Master's,Microsoft Azure,Paynefurt
Eric Perez DDS,Data Scientist,"TensorFlow, Python, R",4,PhD,Google Data Engineer,Reillyport
Jesse Gilmore,Data Engineer,"Spark, AWS, Python, SQL",8,Bachelor's,AWS Certified,North Jessicabury
Jonathan Adams,Data Analyst,"Data Visualization, Tableau, Power BI",14,PhD,None,Brianside
Krystal Thomas,ML Engineer,"Keras, Python, PyTorch, Scikit-learn",4,Bachelor's,AWS Certified,Lisaton
Amanda Harris,Data Scientist,"TensorFlow, Pandas, Deep Learning, Machine Learning, Python",4,Bachelor's,Google Data Engineer,Torresville
Alexander Clark,Data Scientist,"R, Python, Pandas",2,PhD,None,Lake Jamesfurt
Lindsay Soto,ML Engineer,"Keras, PyTorch, NLP",7,PhD,Microsoft Azure,New Phillipbury
Natasha Terry,Data Engineer,"ETL, SQL, Hadoop, Python, Kafka",3,Master's,None,Port Susan
Michelle Johnson,Data Analyst,"Data Visualization, Python, SQL, Excel, Tableau",3,Bachelor's,None,East Natalie
James Andrade,Data Engineer,"Python, ETL, Hadoop, Kafka, Spark",3,PhD,Google Data Engineer,West Randall
Matthew Chandler,Data Engineer,"Hadoop, Kafka, AWS, Python, Spark, ETL",2,PhD,Google Data Engineer,West Vanessaburgh
Stephanie Willis,Data Scientist,"Deep Learning, R, Pandas, Machine Learning, Python, TensorFlow",15,Master's,Google Data Engineer,Currymouth
Robert Rodriguez,Data Analyst,"Power BI, SQL, Data Visualization, Excel, Python",10,Bachelor's,AWS Certified,Cindytown
Kelly Gonzales,Data Engineer,"Spark, SQL, Hadoop, AWS, ETL",9,Master's,AWS Certified,Johnsontown
Dana Garrett,Data Analyst,"SQL, Python, Data Visualization, Excel",8,PhD,None,South Julia
Matthew Valdez,AI Engineer,"Deep Learning, NLP, AI Systems, TensorFlow, Python",10,Master's,AWS Certified,East Sylviashire
Angela Barajas,Data Analyst,"Tableau, Excel, Data Visualization, SQL, Power BI",6,Bachelor's,AWS Certified,Port Amandaview
Alan Hicks,ML Engineer,"NLP, TensorFlow, PyTorch, Scikit-learn, Python",1,Bachelor's,Google Data Engineer,East Elizabeth
Jennifer Cordova,ML Engineer,"Python, TensorFlow, PyTorch, Scikit-learn",1,Bachelor's,Microsoft Azure,Melissaland
Clayton Taylor,ML Engineer,"NLP, TensorFlow, Python, Keras, PyTorch",8,Master's,Google Data Engineer,Laurentown
Jeffrey Davis,AI Engineer,"Machine Learning, AI Systems, TensorFlow, NLP, Python, Deep Learning",2,Master's,None,East Amanda
Diana Jones,Data Analyst,"Data Visualization, SQL, Tableau",13,Master's,Microsoft Azure,Castrostad
Karen Bowman,ML Engineer,"PyTorch, Python, Scikit-learn, NLP",7,PhD,Microsoft Azure,North Alyssa
Mark Sutton,Data Scientist,"Python, Machine Learning, R, Deep Learning, Pandas, TensorFlow",2,Master's,AWS Certified,West Kenneth
Keith Manning,Data Engineer,"ETL, SQL, AWS, Python, Kafka",8,Master's,Microsoft Azure,Stewartland
Robert Stein,Data Scientist,"R, Machine Learning, Pandas, TensorFlow, Deep Learning",9,Bachelor's,AWS Certified,Melissaland
James Carpenter,AI Engineer,"Machine Learning, AI Systems, NLP",1,PhD,Microsoft Azure,New Ashleyside
Kimberly Turner,Data Engineer,"ETL, Spark, AWS",9,Bachelor's,Microsoft Azure,Tiffanyhaven
Juan Campbell,Data Analyst,"Python, SQL, Tableau, Data Visualization",7,PhD,Microsoft Azure,Stevenmouth
Mr. Eric Whitaker,Data Engineer,"Python, ETL, SQL",15,PhD,None,Katherinestad
Michael Morrow,Data Scientist,"Pandas, Python, TensorFlow, Deep Learning, Machine Learning, R",3,Master's,Google Data Engineer,Beverlytown
Brandon Bennett,Data Analyst,"SQL, Tableau, Python, Power BI",12,Master's,Google Data Engineer,Hubbardhaven
James Oliver,Data Analyst,"Power BI, Excel, SQL, Data Visualization",3,Bachelor's,None,North Brad
Veronica Stewart,Data Scientist,"TensorFlow, R, Machine Learning, Deep Learning, Pandas",12,Master's,None,North Lauren
Marisa White,Data Analyst,"Data Visualization, SQL, Excel",3,PhD,None,Marcmouth
William Howard,Data Scientist,"Python, R, Pandas",8,Bachelor's,Microsoft Azure,Ericview
Thomas Cruz,ML Engineer,"NLP, PyTorch, TensorFlow, Keras, Scikit-learn",8,Bachelor's,Microsoft Azure,Lewismouth
Timothy Moore,Data Analyst,"Tableau, SQL, Excel, Data Visualization, Power BI, Python",2,Master's,Google Data Engineer,Jasonfort
Darrell Williams,Data Engineer,"Spark, AWS, SQL, Hadoop, ETL",7,PhD,Microsoft Azure,East Peter
Gabriela Barton,AI Engineer,"Deep Learning, NLP, TensorFlow, Python, Machine Learning",14,PhD,Microsoft Azure,Larsonfort
Cynthia Conrad,Data Analyst,"Power BI, Data Visualization, SQL, Python",6,PhD,AWS Certified,South Victor
Jennifer Hendricks,Data Engineer,"Kafka, AWS, ETL",6,Master's,None,North Robert
William Gomez,Data Engineer,"Python, AWS, Hadoop, Kafka",12,Bachelor's,AWS Certified,East Sabrina
Stephanie Rollins,Data Scientist,"Machine Learning, R, Pandas",2,PhD,Microsoft Azure,South Juan
Andrea Carson,AI Engineer,"Machine Learning, Python, AI Systems, Deep Learning, TensorFlow, NLP",13,Master's,Google Data Engineer,Adamfurt
Patrick Gonzalez,ML Engineer,"TensorFlow, PyTorch, NLP, Keras, Python",6,Master's,Microsoft Azure,Melendezstad
Robert Adams,Data Engineer,"Spark, Hadoop, Python, Kafka, AWS, SQL",11,Bachelor's,AWS Certified,Wallaceside
Robert Larson,Data Engineer,"SQL, ETL, AWS, Kafka, Spark, Python",4,PhD,Microsoft Azure,Peggyland
Mark Cruz,Data Analyst,"Python, SQL, Power BI, Excel",1,Master's,Google Data Engineer,West Katherine
Rachel Johnson,Data Analyst,"SQL, Python, Power BI, Excel",10,PhD,Microsoft Azure,New Lauren
Susan Smith,Data Scientist,"Pandas, TensorFlow, R, Deep Learning",10,Bachelor's,Microsoft Azure,South Christophertown
Michelle Morales,Data Analyst,"Excel, Tableau, Power BI, Python, SQL",9,Bachelor's,None,Jordanburgh
Richard Davis,Data Scientist,"TensorFlow, Machine Learning, Deep Learning, Pandas, R",3,PhD,Google Data Engineer,Williammouth
Matthew Dougherty,ML Engineer,"NLP, Python, PyTorch, TensorFlow, Keras",10,Master's,Microsoft Azure,North Darin
Mikayla Russo,ML Engineer,"Scikit-learn, PyTorch, TensorFlow, Python, NLP, Keras",1,Bachelor's,Google Data Engineer,South Davidborough
Nicholas White,ML Engineer,"Scikit-learn, TensorFlow, NLP, Python, Keras",4,Bachelor's,None,New Sherry
Jacqueline Ramos,Data Analyst,"Python, SQL, Data Visualization, Excel",5,PhD,Google Data Engineer,Jonesfurt
Mikayla Brown,ML Engineer,"Python, TensorFlow, Scikit-learn, Keras",10,Bachelor's,None,Gibsonport
Tracy Gray,Data Scientist,"Pandas, Deep Learning, Machine Learning, Python, R, TensorFlow",11,PhD,Google Data Engineer,East Melanieburgh
Kimberly Rush,Data Scientist,"R, TensorFlow, Pandas, Python, Machine Learning",9,Bachelor's,None,West Robertside
Tracey Cruz DDS,ML Engineer,"Scikit-learn, Python, NLP, Keras",2,Master's,None,North Jasonberg
Vanessa Smith,AI Engineer,"Deep Learning, Machine Learning, AI Systems",5,PhD,None,West Paul
Ashley Bender,Data Scientist,"Pandas, Machine Learning, Deep Learning, TensorFlow",3,Master's,Google Data Engineer,New Deborah
Tiffany Turner,ML Engineer,"TensorFlow, PyTorch, Keras, NLP, Python, Scikit-learn",4,Bachelor's,None,Ericborough
Rita Rogers,Data Analyst,"Python, SQL, Data Visualization, Power BI, Tableau, Excel",12,Bachelor's,Google Data Engineer,Vanessabury
Daniel Farrell,Data Engineer,"Spark, AWS, SQL",1,PhD,AWS Certified,West Jennifermouth
Nicole Patterson,ML Engineer,"Scikit-learn, PyTorch, NLP",8,Master's,None,North Holly
Rose Ewing,Data Analyst,"Excel, Power BI, SQL, Data Visualization",11,Bachelor's,Google Data Engineer,West Johnnytown
James Molina,ML Engineer,"Python, PyTorch, TensorFlow, NLP, Keras, Scikit-learn",9,Master's,AWS Certified,Wardside
Walter Cortez,Data Analyst,"Excel, Power BI, Python, SQL, Data Visualization, Tableau",1,Master's,Google Data Engineer,Atkinsland
Howard Roman,Data Engineer,"Hadoop, Kafka, SQL, Python, Spark",3,Master's,None,Sandramouth
Michael Henderson,AI Engineer,"NLP, Python, TensorFlow, AI Systems, Machine Learning",6,Bachelor's,None,Patriciaton
Joyce York,Data Analyst,"Tableau, Power BI, SQL, Excel",14,Bachelor's,Microsoft Azure,Lake Christine
Jody Richards,ML Engineer,"Scikit-learn, TensorFlow, PyTorch, NLP, Python, Keras",6,Bachelor's,AWS Certified,Smithhaven
Gabriel Nelson,Data Scientist,"Pandas, Python, Deep Learning",5,PhD,None,Lake Jenniferside
Nicholas Hill,Data Scientist,"Pandas, R, TensorFlow, Machine Learning, Deep Learning",12,PhD,Microsoft Azure,Crosbyberg
Lori Walter,ML Engineer,"Keras, PyTorch, NLP, Scikit-learn",13,Bachelor's,Google Data Engineer,Denisemouth
Heather Freeman,Data Analyst,"Power BI, Excel, Python, Tableau, Data Visualization, SQL",15,Bachelor's,None,New Stephanie
Theodore Carr,Data Scientist,"TensorFlow, Python, R, Pandas, Machine Learning",13,PhD,Microsoft Azure,Cummingsbury
Melissa Sanders,Data Analyst,"Tableau, Python, SQL, Power BI, Excel, Data Visualization",12,Bachelor's,None,New Kevin
Craig Jackson PhD,Data Engineer,"ETL, AWS, Hadoop, Kafka, Spark, Python",13,PhD,AWS Certified,Hughesfurt
Brittany Mayer,Data Engineer,"AWS, Hadoop, Kafka, ETL, Spark",13,Master's,AWS Certified,Robertville
Joseph Moore,AI Engineer,"Deep Learning, Python, NLP",14,PhD,Google Data Engineer,New Jamesbury
Amber Bennett,ML Engineer,"Keras, PyTorch, NLP, Python, TensorFlow, Scikit-learn",15,Bachelor's,Microsoft Azure,North Amandafurt
Stephanie Johnston,Data Scientist,"Machine Learning, Deep Learning, R, TensorFlow, Python",13,PhD,None,Kevinview
Sandra Wells,AI Engineer,"AI Systems, NLP, Python, Machine Learning, Deep Learning",4,Bachelor's,Google Data Engineer,Port Deniseton
Robin Gonzalez,Data Analyst,"Python, Tableau, Excel",11,Master's,Microsoft Azure,Melissaburgh
Christopher Richardson,Data Analyst,"Python, Data Visualization, Excel, Power BI, SQL, Tableau",4,Master's,Google Data Engineer,Rochastad
Tonya Douglas,Data Scientist,"R, Pandas, Python, Machine Learning, TensorFlow",1,Bachelor's,Google Data Engineer,Garciaberg
James Crane,Data Engineer,"ETL, Spark, Python, Kafka, SQL",9,PhD,AWS Certified,Katherinestad
Courtney Nelson,Data Scientist,"Python, TensorFlow, Pandas, Machine Learning",9,PhD,AWS Certified,Oliverfort
James Kelly,AI Engineer,"TensorFlow, Deep Learning, Machine Learning, NLP, Python",6,PhD,None,Lake Sean
Maria Bullock,Data Scientist,"TensorFlow, Pandas, Machine Learning, Python, R",13,Master's,None,South Luis
William Jarvis,AI Engineer,"Machine Learning, Python, TensorFlow, Deep Learning, NLP, AI Systems",15,Bachelor's,Microsoft Azure,Jennifermouth
Elizabeth Owens,Data Scientist,"Deep Learning, R, Machine Learning",7,PhD,None,Jonathanbury
Victoria Mcgrath,Data Scientist,"Python, Pandas, Machine Learning",15,Master's,Google Data Engineer,Sanchezview
